alphaCode,commonName,scientificName,ebirdCode
BUFF,Bufflehead,Bucephala albeola,buffle
BUTU,Buffy Tuftedcheek,Pseudocolaptes lawrencii,buftuf1
BCWP,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,bcwpar1
BULS,Buller's Shearwater,Ardenna bulleri,bulshe
BUOR,Bullock's Oriole,Icterus bullockii,bulori
BUPE,Bulwer's Petrel,Bulweria bulwerii,bulpet
BUHU,Bumblebee Hummingbird,Selasphorus heloisa,bumhum
BUOW,Burrowing Owl,Athene cunicularia,burowl
BUSH,Bushtit,Psaltriparus minimus,bushti
BCRJ,Bushy-crested Jay,Cyanocorax melanocyaneus,bucjay1
CAGS,Cabanis's Ground-Sparrow,Melozone cabanisi,pregrs2
CABW,Cabanis's Wren,Cantorchilus modestus,plawre1
CACG,Cackling Goose,Branta hutchinsii,cacgoo1
CACW,Cactus Wren,Campylorhynchus brunneicapillus,cacwre
CACO,California Condor,Gymnogyps californianus,calcon
CAGN,California Gnatcatcher,Polioptila californica,calgna
CAGU,California Gull,Larus californicus,calgul
CAQU,California Quail,Callipepla californica,calqua
CASJ,California Scrub-Jay,Aphelocoma californica,cowscj1
CATH,California Thrasher,Toxostoma redivivum,calthr
CALT,California Towhee,Melozone crissalis,caltow
CAHU,Calliope Hummingbird,Selasphorus calliope,calhum
CANG,Canada Goose,Branta canadensis,cangoo
CAJA,Canada Jay,Perisoreus canadensis,gryjay
CAWA,Canada Warbler,Cardellina canadensis,canwar
CAKW,Canebrake Wren,Cantorchilus zeledoni,plawre3
CAEM,Canivet's Emerald,Cynanthus canivetii,caneme1
CANV,Canvasback,Aythya valisineria,canvas
CANT,Canyon Towhee,Melozone fusca,cantow
CANW,Canyon Wren,Catherpes mexicanus,canwre
CMWA,Cape May Warbler,Setophaga tigrina,camwar
CVSH,Cape Verde Shearwater,Calonectris edwardsii,cavshe1
CAHE,Capped Heron,Pilherodius pileatus,capher1
CAGR,Carib Grackle,Quiscalus lugubris,cargra1
CADO,Caribbean Dove,Leptotila jamaicensis,cardov1
CAEL,Caribbean Elaenia,Elaenia martinica,carela1
CAMA,Caribbean Martin,Progne dominicensis,carmar1
CATA,Carmiol's Tanager,Chlorothraupis carmioli,olitan1
CACH,Carolina Chickadee,Poecile carolinensis,carchi
CAPA,Carolina Parakeet,Conuropsis carolinensis,carpar
CARW,Carolina Wren,Thryothorus ludovicianus,carwre
CATE,Caspian Tern,Hydroprogne caspia,caster1
CACR,Cassia Crossbill,Loxia sinesciuris,redcro9
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,casauk
CAFI,Cassin's Finch,Haemorhous cassinii,casfin
CAKI,Cassin's Kingbird,Tyrannus vociferans,caskin
CASP,Cassin's Sparrow,Peucaea cassinii,casspa
CAVI,Cassin's Vireo,Vireo cassinii,casvir
CATY,Cattle Tyrant,Machetornis rixosa,cattyr
CASW,Cave Swallow,Petrochelidon fulva,cavswa
CEDW,Cedar Waxwing,Bombycilla cedrorum,cedwax
CAPO,Central American Pygmy-Owl,Glaucidium griseiceps,capowl1
CERW,Cerulean Warbler,Setophaga cerulea,cerwar
CHAS,Chapman's Swift,Chaetura chapmani,chaswi2
CHHU,Charming Hummingbird,Polyerata decora,chahum1
CHAL,Chatham Albatross,Thalassarche eremita,shyalb2
CTST,Checker-throated Stipplethroat,Epinecrophylla fulviventris,chtant1
CHMU,Chestnut Munia,Lonchura atricapilla,chemun
CBAN,Chestnut-backed Antbird,Poliocrania exsul,chbant1
CBCH,Chestnut-backed Chickadee,Poecile rufescens,chbchi
CBCU,Chestnut-bellied Cuckoo,Coccyzus pluvialis,chbcuc4
CBSA,Chestnut-bellied Sandgrouse,Pterocles exustus,chbsan
CCBR,Chestnut-capped Brushfinch,Arremon brunneinucha,ccbfin
CCAW,Chestnut-capped Warbler,Basileuterus delattrii,rucwar4
CCLO,Chestnut-collared Longspur,Calcarius ornatus,chclon
CCSW,Chestnut-collared Swift,Streptoprocne rutila,chcswi1
CCOW,Chestnut-colored Woodpecker,Celeus castaneus,chcwoo1
CFMA,Chestnut-fronted Macaw,Ara severus,chfmac1
CHOR,Chestnut-headed Oropendola,Psarocolius wagleri,chhoro1
CSSV,Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,cssvir1
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,chswar
CHME,Chihuahuan Meadowlark,Sturnella lilianae,lilmea2
CHRA,Chihuahuan Raven,Corvus cryptoleucus,chirav
CHSW,Chimney Swift,Chaetura pelagica,chiswi
CHEG,Chinese Egret,Egretta eulophotes,chiegr
CHPH,Chinese Pond-Heron,Ardeola bacchus,chpher1
CHIS,Chinese Sparrowhawk,Tachyspiza soloensis,grfhaw1
CHSP,Chipping Sparrow,Spizella passerina,chispa
CHFG,Chiriqui Foliage-gleaner,Automolus exsertus,butfog4
CHQD,Chiriqui Quail-Dove,Zentrygon chiriquensis,chqdov1
CHSO,Choco Screech-Owl,Megascops centralis,versco2
